Price at Date,Price in EUR
2023/06/08,145
2023/06/09,145
2023/06/10,145
2023/06/11,145
2023/06/12,145
2023/06/13,145
2023/06/14,145
2023/06/15,145
2023/06/16,145
2023/06/17,145
2023/06/18,145
2023/06/19,145
2023/06/20,145
2023/06/21,145
2023/06/22,145
2023/06/23,145
2023/06/24,145
2023/06/25,145
2023/06/26,145
2023/06/27,145
2023/06/28,145
2023/06/29,145
2023/06/30,145
2023/07/01,145
2023/07/02,145
2023/07/03,145
2023/07/04,145
2023/07/05,145
2023/07/06,145
2023/07/07,145
2023/07/08,145
2023/07/09,145
2023/07/10,116
2023/07/11,105
2023/07/12,105
2023/07/13,105
2023/07/14,105
2023/07/15,105
2023/07/16,105
2023/07/17,105
2023/07/18,105
2023/07/19,105
2023/07/20,105
2023/07/21,105
2023/07/22,105
2023/07/23,105
2023/07/24,105
2023/07/25,105
2023/07/26,105
2023/07/27,105
2023/07/28,105
2023/07/29,105
2023/07/30,105
2023/07/31,105
2023/08/01,105
2023/08/02,105
2023/08/03,181
2023/08/04,181
2023/08/05,181
2023/08/06,204
2023/08/07,204
2023/08/08,204
2023/08/09,204
2023/08/10,233
2023/08/11,233
