Price at Date,Price in EUR
2023/06/08,116
2023/06/09,116
2023/06/10,116
2023/06/11,116
2023/06/12,116
2023/06/13,116
2023/06/14,116
2023/06/15,116
2023/06/16,116
2023/06/17,116
2023/06/18,116
2023/06/19,116
2023/06/20,116
2023/06/21,116
2023/06/22,116
2023/06/23,116
2023/06/24,116
2023/06/25,116
2023/06/26,116
2023/06/27,116
2023/06/28,116
2023/06/29,116
2023/06/30,116
2023/07/01,116
2023/07/02,116
2023/07/03,116
2023/07/04,116
2023/07/05,116
2023/07/06,116
2023/07/07,116
2023/07/08,103
2023/07/09,116
2023/07/10,116
2023/07/11,103
2023/07/12,103
2023/07/13,103
2023/07/14,103
2023/07/15,116
2023/07/16,116
2023/07/17,98
2023/07/18,98
2023/07/19,92
2023/07/20,92
2023/07/21,92
2023/07/22,92
2023/07/23,101
2023/07/24,101
2023/07/25,101
2023/07/26,102
2023/07/27,102
2023/07/28,102
2023/07/29,102
2023/07/30,102
2023/07/31,102
2023/08/01,102
2023/08/02,102
2023/08/03,102
2023/08/04,102
2023/08/05,102
2023/08/06,102
2023/08/07,102
2023/08/08,102
2023/08/09,102
2023/08/10,102
2023/08/11,143
