Price at Date,Price in EUR
2023/06/08,27
2023/06/09,25
2023/06/10,27
2023/06/11,25
2023/06/12,25
2023/06/13,27
2023/06/14,27
2023/06/15,25
2023/06/16,25
2023/06/17,27
2023/06/18,25
2023/06/19,25
2023/06/20,25
2023/06/21,25
2023/06/22,25
2023/06/23,27
2023/06/24,25
2023/06/25,25
2023/06/26,27
2023/06/27,25
2023/06/28,25
2023/06/29,25
2023/06/30,25
2023/07/01,27
2023/07/02,25
2023/07/03,25
2023/07/04,25
2023/07/05,25
2023/07/06,25
2023/07/07,25
2023/07/08,25
2023/07/09,28
2023/07/10,25
2023/07/11,26
2023/07/12,25
2023/07/13,25
2023/07/14,25
2023/07/15,25
2023/07/16,25
2023/07/17,25
2023/07/18,25
2023/07/19,25
2023/07/20,25
2023/07/21,25
2023/07/22,25
2023/07/23,25
2023/07/24,25
2023/07/25,25
2023/07/26,25
2023/07/27,25
2023/07/28,25
2023/07/29,25
2023/07/30,25
2023/07/31,25
2023/08/01,27
2023/08/02,25
2023/08/03,25
2023/08/04,31
2023/08/05,25
2023/08/06,25
2023/08/07,24
2023/08/08,24
2023/08/09,27
2023/08/10,25
2023/08/11,27
