Price at Date,Price in EUR
2023/06/08,22
2023/06/09,22
2023/06/10,19
2023/06/11,19
2023/06/12,19
2023/06/13,19
2023/06/14,19
2023/06/15,19
2023/06/16,19
2023/06/17,19
2023/06/18,19
2023/06/19,19
2023/06/20,19
2023/06/21,19
2023/06/22,19
2023/06/23,19
2023/06/24,19
2023/06/25,19
2023/06/26,19
2023/06/27,19
2023/06/28,19
2023/06/29,19
2023/06/30,19
2023/07/01,19
2023/07/02,19
2023/07/03,19
2023/07/04,19
2023/07/05,19
2023/07/06,18
2023/07/07,18
2023/07/08,19
2023/07/09,19
2023/07/10,19
2023/07/11,19
2023/07/12,19
2023/07/13,19
2023/07/14,19
2023/07/15,19
2023/07/16,19
2023/07/17,19
2023/07/18,19
2023/07/19,19
2023/07/20,19
2023/07/21,19
2023/07/22,19
2023/07/23,19
2023/07/24,19
2023/07/25,19
2023/07/26,19
2023/07/27,19
2023/07/28,19
2023/07/29,19
2023/07/30,19
2023/07/31,19
2023/08/01,19
2023/08/02,19
2023/08/03,19
2023/08/04,19
2023/08/05,19
2023/08/06,19
2023/08/07,19
