Price at Date,Price in EUR
2023/06/08,145
2023/06/09,145
2023/06/10,145
2023/06/11,145
2023/06/12,145
2023/06/13,145
2023/06/14,145
2023/06/15,145
2023/06/16,145
2023/06/17,145
2023/06/18,145
2023/06/19,145
2023/06/20,145
2023/06/21,145
2023/06/22,145
2023/06/23,145
2023/06/24,145
2023/06/25,145
2023/06/26,145
2023/06/27,145
2023/06/28,145
2023/06/29,145
2023/06/30,145
2023/07/01,145
2023/07/02,145
2023/07/03,145
2023/07/04,145
2023/07/05,145
2023/07/06,145
2023/07/07,145
2023/07/08,145
2023/07/09,145
2023/07/10,145
2023/07/11,145
2023/07/12,145
2023/07/13,145
2023/07/14,145
2023/07/15,145
2023/07/16,145
2023/07/17,145
2023/07/18,145
2023/07/19,145
2023/07/20,162
2023/07/21,162
2023/07/22,162
2023/07/23,162
2023/07/24,162
2023/07/25,162
2023/07/26,166
2023/07/27,166
2023/07/28,166
2023/07/29,166
2023/07/30,166
2023/07/31,166
2023/08/01,166
2023/08/02,166
2023/08/03,233
2023/08/04,233
2023/08/05,233
2023/08/06,267
2023/08/07,308
